"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#ElBronco ofrece irse a #vivir a #Michoac<U+0087>n y acabar con #violencia https://t.co/OrjSRBlL7T",FALSE,0,NA,2018-06-06 08:35:03,FALSE,NA,"1004280495499333632",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","callemexico",0,FALSE,FALSE,NA,NA
"¿Cómo saber por quién votar? https://t.co/r10lF0aMzv
#EleccionesMexico 
#EleccionesColombia 
#AMLO #Anaya #Meade… https://t.co/lKsrxKQjv7",FALSE,0,NA,2018-06-06 06:35:54,TRUE,NA,"1004250510164144128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","enlabrechamx",0,FALSE,FALSE,NA,NA
"RT @ADNPolitico: #ElBronco confesó que le tiene miedo a #YaSabesQuién <U+0001F644> https://t.co/t3tR71xXRV",FALSE,0,NA,2018-06-06 06:20:09,FALSE,NA,"1004246546911780864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jumaherseg",2,TRUE,FALSE,NA,NA
"#Subsidios para las #empresas que eviten #contaminar, plantea #ElBronco https://t.co/FYqFldYZXe",FALSE,0,NA,2018-06-06 05:30:04,FALSE,NA,"1004233944194265088",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","callemexico",0,FALSE,FALSE,NA,NA
"RT @JaimeRdzNL: Yo no soy cualquier candidato, yo soy #ElBronco y lucharé en contra de un sistema corrupto para que los mexicanos estén fel…",FALSE,0,NA,2018-06-06 05:23:15,FALSE,NA,"1004232229466329088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DELTA_1_910",42,TRUE,FALSE,NA,NA
"RT @Entera2mx: Van 6 mil 300 preguntas ciudadanas para los candidatos a la Presidencia de México #DebateINE #AMLO #Meade #Anaya #ElBronco @…",FALSE,0,NA,2018-06-06 05:21:55,FALSE,NA,"1004231891468288001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nachocastorena",3,TRUE,FALSE,NA,NA
"RT @JaimeRdzNL: Yo no soy cualquier candidato, yo soy #ElBronco y lucharé en contra de un sistema corrupto para que los mexicanos estén fel…",FALSE,0,NA,2018-06-06 04:39:33,FALSE,NA,"1004221229597888512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DELFINAZUL691",42,TRUE,FALSE,NA,NA
"RT @JaimeRdzNL: Yo no soy cualquier candidato, yo soy #ElBronco y lucharé en contra de un sistema corrupto para que los mexicanos estén fel…",FALSE,0,NA,2018-06-06 04:31:15,FALSE,NA,"1004219140389736449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luciorejas",42,TRUE,FALSE,NA,NA
"#ElBronco confesó que le tiene miedo a #YaSabesQuién <U+0001F644> https://t.co/t3tR71xXRV",FALSE,3,NA,2018-06-06 04:15:03,FALSE,NA,"1004215065988431872",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ADNPolitico",2,FALSE,FALSE,NA,NA
"¿Quién es Jaime Rodríguez Calderón @JaimeRdzNL “El Bronco”? (Análisis de @AMiMeDicenMune) #Elecciones2018 #ElBronco

https://t.co/MJOuhCrpRd",FALSE,0,NA,2018-06-06 04:07:56,FALSE,NA,"1004213273380687873",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","davidaustria",1,FALSE,FALSE,NA,NA
"RT @JaimeRdzNL: Yo no soy cualquier candidato, yo soy #ElBronco y lucharé en contra de un sistema corrupto para que los mexicanos estén fel…",FALSE,0,NA,2018-06-06 03:59:45,FALSE,NA,"1004211215541780481",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JCPGuerrero",42,TRUE,FALSE,NA,NA
"¿Qué le está pasando a #México?

Este debería ser unos de los principales temas en el #TercerDebate de las… https://t.co/RpkGPDnnZk",FALSE,1,NA,2018-06-06 03:55:56,TRUE,NA,"1004210254769422336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EnriqSanchezAx",0,FALSE,FALSE,NA,NA
